Match Date,Team..1,Team..2,Winner,Margin,Ground
17-Nov-22,Australia,England,Australia,6 wickets,Adelaide
18-Nov-22,Nepal,U.A.E.,Nepal,6 wickets,Kirtipur
19-Nov-22,Australia,England,Australia,72 runs,Sydney
19-Nov-22,Namibia,P.N.G.,Namibia,8 wickets,Windhoek
20-Nov-22,Namibia,U.S.A.,U.S.A.,71 runs,Windhoek
22-Nov-22,Australia,England,Australia,221 runs,Melbourne
22-Nov-22,P.N.G.,U.S.A.,U.S.A.,6 wickets,Windhoek
23-Nov-22,Namibia,P.N.G.,Namibia,3 wickets,Windhoek
25-Nov-22,New Zealand,India,New Zealand,7 wickets,Auckland
25-Nov-22,P.N.G.,U.S.A.,U.S.A.,35 runs,Windhoek
25-Nov-22,Sri Lanka,Afghanistan,Afghanistan,60 runs,Pallekele
26-Nov-22,Namibia,U.S.A.,Namibia,6 wickets,Windhoek
27-Nov-22,New Zealand,India,no result,-,Hamilton
27-Nov-22,Sri Lanka,Afghanistan,no result,-,Pallekele
30-Nov-22,New Zealand,India,no result,-,Christchurch
30-Nov-22,Sri Lanka,Afghanistan,Sri Lanka,4 wickets,Pallekele
01-Dec-22,Namibia,Scotland,Scotland,4 wickets,Windhoek
02-Dec-22,Namibia,Nepal,no result,-,Windhoek
04-Dec-22,Bangladesh,India,Bangladesh,1 wicket,Mirpur
04-Dec-22,Nepal,Scotland,Scotland,3 wickets,Windhoek
05-Dec-22,Namibia,Scotland,Namibia,3 wickets,Windhoek
07-Dec-22,Bangladesh,India,Bangladesh,5 runs,Mirpur
07-Dec-22,Namibia,Nepal,Namibia,86 runs,Windhoek
08-Dec-22,Nepal,Scotland,Scotland,8 wickets,Windhoek
10-Dec-22,Bangladesh,India,India,227 runs,Chattogram
09-Jan-23,Pakistan,New Zealand,Pakistan,6 wickets,Karachi
10-Jan-23,India,Sri Lanka,India,67 runs,Guwahati
11-Jan-23,Pakistan,New Zealand,New Zealand,79 runs,Karachi
12-Jan-23,India,Sri Lanka,India,4 wickets,Eden Gardens
13-Jan-23,Pakistan,New Zealand,New Zealand,2 wickets,Karachi
15-Jan-23,India,Sri Lanka,India,317 runs,Thiruvananthapuram
18-Jan-23,Zimbabwe,Ireland,Zimbabwe,3 wickets,Harare
18-Jan-23,India,New Zealand,India,12 runs,Hyderabad
21-Jan-23,Zimbabwe,Ireland,Ireland,46 runs,Harare
21-Jan-23,India,New Zealand,India,8 wickets,Raipur
23-Jan-23,Zimbabwe,Ireland,no result,-,Harare
24-Jan-23,India,New Zealand,India,90 runs,Indore
27-Jan-23,South Africa,England,South Africa,27 runs,Bloemfontein
29-Jan-23,South Africa,England,South Africa,5 wickets,Bloemfontein
01-Feb-23,South Africa,England,England,59 runs,Kimberley
14-Feb-23,Nepal,Namibia,Nepal,2 wickets,Kirtipur
15-Feb-23,Namibia,Scotland,Scotland,10 wickets,Kirtipur
17-Feb-23,Nepal,Scotland,Nepal,3 wickets,Kirtipur
18-Feb-23,Nepal,Namibia,Nepal,3 wickets,Kirtipur
20-Feb-23,Namibia,Scotland,Scotland,43 runs,Kirtipur
21-Feb-23,Nepal,Scotland,Nepal,2 wickets,Kirtipur
23-Feb-23,U.A.E.,Namibia,U.A.E.,1 wicket,Dubai (DSC)
25-Feb-23,U.A.E.,Namibia,Namibia,7 wickets,Dubai (DSC)
27-Feb-23,Nepal,P.N.G.,Nepal,4 wickets,Dubai (DSC)
28-Feb-23,U.A.E.,P.N.G.,P.N.G.,131 runs,Dubai (DSC)
